station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Abbey Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,3,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,243,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,600
Acton Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,0,3,0,10,0,22,0,54,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,72,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,119,11,0,6,6,0,0,0,22,0,30,0,4,9,0,1,0,3,0,0,0,0,0,0,0,2,80,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,11,23,0,0,9,7,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,61,0,4,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,102,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,15,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,3,51,0,79,0,0,0,0,0,0,1,0,0,1223
Acton Town,0,0,0,18,18,0,9,1,0,20,6,2,1,41,10,117,21,11,1,24,4,0,0,1,7,9,11,27,6,0,52,10,14,2,0,4,0,0,14,0,4,0,0,0,0,2,0,0,6,0,0,0,17,37,43,24,14,0,2,0,0,1,5,37,22,0,0,0,0,50,2,7,0,0,5,5,0,1,5,3,15,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,3,66,41,36,11,4,4,0,9,2,2,24,0,18,0,0,29,0,0,0,40,23,0,47,5,12,0,15,0,0,21,0,1,0,27,5,5,19,0,0,0,21,69,6,0,47,0,0,0,0,0,116,6,0,0,0,0,0,0,10,0,6,0,3,4,9,5,0,0,27,0,45,3,1,51,11,6,0,0,0,6,7,3,0,11,1,0,0,0,5,0,0,0,10,0,0,8,7,0,0,0,64,3,27,14,6,9,0,9,27,0,4,0,4,0,0,92,58,0,0,0,0,4,0,20,21,0,16,9,2,0,46,4,10,0,0,0,0,1,23,11,12,0,0,18,3,6,3,2,0,24,1,31,6,8,94,59,24,14,0,0,3,38,19,1,3,0,0,2,0,0,12,0,0,2,0,24,3,0,1,12,28,2,0,0,0,0,6,0,1,0,2,16,0,18,0,0,37,5,0,0,31,0,0,17,0,3,57,0,0,1,0,0,2,0,6,2,28,0,39,13,31,15,0,0,0,5,6,0,0,64,0,0,3,3,0,9,0,20,0,0,4,10,47,7,1,0,20,2,0,31,3,2,0,1,0,4,10,41,83,9,0,0,0,0,0,42,0,54,2,0,0,0,13,7,31,0,0,11,18,1,0,12,0,0,9,0,42,26,0,32,4,0,17,3,5,13,0,2,0,2,0,3745
Aldgate,0,0,2,0,47,0,0,0,0,22,3,1,1,20,5,273,42,6,0,3,1,0,0,0,4,9,16,35,3,0,28,13,1,1,0,4,1,0,7,0,0,0,0,0,0,1,0,0,4,0,0,0,11,31,34,16,26,0,1,0,0,0,3,37,15,0,0,0,0,0,0,4,0,0,3,2,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,7,2,2,3,0,2,0,1,10,0,18,0,0,22,0,0,0,28,15,0,76,2,4,0,9,0,0,5,0,1,0,7,2,1,13,0,0,0,12,35,1,0,4,0,0,0,0,0,13,3,0,1,2,0,0,1,2,0,1,0,0,1,1,2,0,1,6,0,29,1,0,43,3,4,0,0,0,1,1,0,0,5,0,0,0,0,4,1,0,0,6,0,0,1,2,0,1,0,55,1,10,3,4,3,0,2,17,0,2,0,3,0,0,413,85,0,0,1,2,2,0,34,10,0,7,10,1,0,136,1,6,0,1,0,0,1,3,0,8,0,0,1,1,1,1,0,0,7,1,60,1,6,53,20,0,3,0,0,1,23,8,0,2,0,0,1,0,0,3,3,0,0,3,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,12,0,10,0,0,9,1,0,0,12,1,0,1,0,0,16,0,0,0,0,2,1,0,1,1,27,0,22,6,47,1,0,1,0,7,4,0,1,50,0,0,0,0,0,4,0,19,0,0,2,4,32,4,0,0,105,1,0,2,2,0,0,0,0,3,2,18,39,6,0,0,1,0,0,26,2,44,1,0,0,1,4,1,6,0,0,8,6,0,0,2,0,0,2,0,27,6,0,55,1,4,4,0,3,2,0,1,0,1,0,2884
Aldgate East,0,0,2,53,0,0,1,0,0,23,4,1,1,22,5,273,43,8,0,4,1,0,0,1,4,9,17,37,4,0,31,14,1,1,0,5,1,0,8,0,6,0,0,0,0,1,0,0,5,0,0,0,12,47,48,22,27,0,1,0,0,0,3,40,17,0,0,0,0,2,0,4,0,0,3,3,0,0,2,1,12,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,4,1,8,2,2,4,0,2,0,1,11,0,19,0,0,24,0,0,0,30,17,0,79,2,5,0,10,0,0,5,0,1,0,7,3,1,14,0,0,0,14,38,1,0,4,0,0,0,0,1,15,3,0,2,2,0,0,1,2,0,1,0,1,1,1,2,0,1,7,0,33,2,0,47,3,4,0,0,1,1,1,0,0,5,0,0,0,0,4,1,0,3,6,0,0,1,3,0,2,0,60,1,11,3,5,4,0,2,19,0,3,0,3,0,0,366,90,0,0,1,2,3,0,36,11,0,8,16,1,0,131,2,7,0,1,0,0,1,3,0,11,0,1,1,1,2,1,0,0,8,1,62,1,7,59,23,2,3,0,0,1,26,9,0,3,0,0,1,0,0,3,3,0,1,3,2,0,0,0,7,4,0,0,0,0,0,2,0,0,0,0,13,0,11,0,0,10,1,0,0,13,1,0,1,0,0,18,0,0,0,0,2,1,0,2,1,29,0,24,6,49,1,0,1,0,13,4,0,1,70,0,0,0,0,0,4,0,21,0,0,2,5,35,4,0,0,89,1,0,2,2,1,1,1,0,3,2,20,44,6,0,0,1,0,0,29,2,48,1,0,0,1,5,1,7,0,0,12,7,0,0,2,0,0,2,0,30,6,0,141,1,4,5,1,3,2,0,1,0,1,0,3166
All Saints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,6,2,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,5,0,0,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,739
Alperton,0,0,14,0,10,0,0,1,0,11,0,1,1,20,0,62,11,6,0,9,2,0,0,0,0,5,0,14,4,0,26,0,4,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,9,20,24,14,7,0,0,0,0,1,0,19,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,15,0,0,3,0,4,2,0,12,0,9,0,0,15,0,0,0,21,0,0,25,0,6,0,8,0,0,10,0,0,0,12,0,2,10,0,0,0,0,34,0,0,15,0,0,0,0,0,40,0,0,0,0,0,0,0,10,0,3,0,2,2,4,0,0,1,12,0,24,0,1,26,0,3,0,0,0,3,3,1,0,6,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,34,0,13,6,3,0,0,4,14,0,2,0,2,0,0,50,31,0,0,0,0,2,0,11,0,0,0,5,0,0,25,2,5,0,0,0,0,1,0,5,7,0,0,5,0,6,3,2,0,11,1,17,2,0,47,28,24,7,0,0,0,19,10,1,0,0,0,0,0,0,6,0,0,0,0,8,3,0,0,0,12,2,0,0,0,0,3,0,1,0,2,8,0,10,0,0,0,2,0,0,15,0,0,4,0,4,26,0,0,0,0,0,0,0,3,1,14,0,19,0,16,4,0,0,0,3,3,0,0,36,0,0,4,6,0,0,0,10,0,0,2,6,24,4,0,0,11,0,0,8,2,0,0,0,0,2,9,21,41,5,0,0,0,0,0,22,0,28,2,0,0,0,0,0,13,0,0,6,0,1,0,5,0,0,4,0,21,0,0,18,0,0,9,2,3,5,0,0,0,0,0,1622
Amersham,0,0,4,8,8,0,2,0,0,9,3,0,1,15,0,49,10,6,0,4,0,0,0,0,0,4,5,11,0,0,19,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,7,16,21,12,6,0,1,0,0,10,2,14,8,2,0,0,0,3,7,3,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,7,0,0,0,0,0,1,0,8,0,7,0,0,11,0,0,0,0,9,0,21,0,5,0,7,0,0,5,0,0,0,6,0,1,0,0,0,0,8,23,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,21,0,1,19,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,4,0,0,1,4,0,0,0,27,2,8,3,2,0,0,2,10,0,0,0,0,0,0,40,23,0,0,0,2,2,0,8,7,0,6,4,0,3,20,0,0,0,2,0,0,0,4,0,6,1,0,0,0,4,4,2,0,6,0,14,1,3,34,19,3,4,0,0,0,13,6,1,0,0,0,1,0,0,3,3,0,1,0,0,1,0,0,5,0,6,0,0,0,0,0,0,1,0,1,6,0,10,0,0,10,1,0,0,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,13,6,13,0,0,2,0,0,0,0,0,34,0,0,1,1,0,4,0,8,0,0,0,5,18,0,0,0,8,0,0,0,0,0,0,0,0,2,7,14,26,6,0,0,0,0,0,16,2,20,4,0,0,0,10,0,7,0,0,6,8,1,0,0,0,0,2,0,14,7,0,15,2,6,6,0,3,2,0,0,0,0,0,1189
Anerley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,15,0,109,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,10,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,44,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,641
Angel,0,0,4,35,34,0,1,0,0,0,8,2,2,56,7,229,45,9,1,6,3,0,0,1,9,11,17,37,6,0,63,14,1,2,0,4,2,0,10,0,5,0,0,0,0,1,0,0,12,0,0,0,31,40,45,23,24,0,1,0,0,1,7,62,28,0,0,0,0,3,1,5,0,0,4,4,0,1,4,2,23,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,6,2,13,3,4,4,0,4,1,2,25,0,21,0,0,35,0,0,1,102,54,0,100,4,10,0,22,0,0,8,0,1,0,12,5,1,34,0,0,0,39,70,2,0,7,0,0,0,0,1,24,7,0,3,4,0,0,0,4,0,1,0,1,1,2,4,0,2,12,0,82,3,0,98,6,10,0,0,1,1,1,1,0,10,0,0,0,0,5,2,0,0,14,0,0,2,5,0,3,0,281,2,20,6,6,7,0,3,37,0,3,0,4,0,0,209,88,0,0,1,4,5,0,34,22,0,19,11,2,1,120,2,20,0,2,0,0,1,5,1,12,0,1,2,1,3,1,1,0,14,1,127,1,8,127,50,2,6,0,0,1,47,14,1,3,0,0,1,0,0,5,6,0,1,6,4,1,0,1,0,6,1,0,0,0,0,4,0,0,0,1,41,0,20,0,0,18,1,0,0,20,1,0,1,0,1,31,1,0,1,0,2,2,0,3,2,31,0,34,14,48,2,0,1,0,8,5,0,2,67,0,0,1,0,0,9,0,23,0,0,3,7,70,7,1,0,33,3,0,3,3,1,1,1,0,4,3,29,68,8,0,0,1,0,0,85,5,57,1,0,0,3,8,1,12,0,0,11,14,0,0,4,0,0,5,0,42,11,0,51,2,8,7,1,5,4,0,1,0,2,0,4206
