station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Abbey Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,273,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,599
Acton Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,2,0,7,0,16,0,32,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,54,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,211,7,0,3,4,0,0,0,19,0,38,0,3,7,0,1,0,2,0,0,0,0,0,0,0,1,54,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,13,28,0,0,7,5,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,149,0,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,56,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,14,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2,31,0,118,0,0,0,0,0,0,1,0,0,1224
Acton Town,0,0,0,14,14,0,12,0,0,16,5,1,1,36,7,91,15,6,0,32,4,0,0,1,5,7,8,22,4,0,46,8,23,1,0,2,0,0,11,0,3,0,0,0,0,1,0,0,5,0,0,0,14,27,50,15,11,0,1,0,0,1,4,31,19,0,0,0,0,137,1,5,0,0,4,4,0,0,3,2,13,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,126,125,43,13,2,3,0,8,2,1,22,0,15,0,0,25,0,0,0,33,19,0,36,3,9,0,11,0,0,23,0,1,0,30,3,6,16,0,0,0,18,63,5,0,74,0,0,0,0,0,170,4,0,0,0,0,0,0,8,0,5,0,3,3,7,3,0,0,29,0,33,2,1,43,11,4,0,0,0,6,8,3,0,11,1,0,0,0,4,0,0,0,8,0,0,11,6,0,0,0,51,2,26,15,5,9,0,11,24,0,2,0,2,0,0,70,47,0,0,0,0,3,0,16,19,0,14,6,1,0,35,2,8,0,0,0,0,1,28,24,8,0,0,34,3,5,2,1,0,25,1,23,7,6,83,57,42,15,0,0,3,34,17,1,2,0,0,1,0,0,12,0,0,1,0,40,2,0,0,10,30,1,0,0,0,0,6,0,1,0,2,13,0,12,0,0,37,6,0,0,31,0,0,36,0,3,60,0,0,1,0,0,1,0,5,1,23,0,35,10,25,27,0,0,0,4,5,0,0,41,0,0,3,3,0,7,0,17,0,0,3,7,40,5,1,0,15,2,0,64,2,1,0,1,0,2,7,35,78,6,0,0,0,0,0,35,0,46,1,0,0,0,10,11,35,0,0,7,15,1,0,15,0,0,9,0,37,26,0,23,3,0,13,2,3,15,0,1,0,1,0,3748
Aldgate,0,0,1,0,59,0,0,0,0,17,2,0,1,12,2,342,46,2,0,2,1,0,0,0,2,6,13,32,1,0,17,12,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,6,20,34,8,30,0,0,0,0,0,2,30,11,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,1,0,0,5,0,14,0,0,16,0,0,0,19,10,0,75,1,2,0,5,0,0,2,0,0,0,3,1,0,8,0,0,0,8,21,0,0,1,0,0,0,0,0,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,17,1,0,32,1,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,1,0,1,0,41,0,6,1,3,2,0,1,12,0,1,0,1,0,0,729,84,0,0,0,1,1,0,36,6,0,4,7,0,0,189,1,4,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,0,63,0,4,34,10,0,1,0,0,0,15,5,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,5,0,0,4,0,0,0,6,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,22,0,14,3,46,0,0,0,0,6,2,0,0,28,0,0,0,0,0,2,0,16,0,0,1,2,22,2,0,0,204,1,0,1,1,0,0,0,0,1,0,9,24,3,0,0,0,0,0,16,1,33,0,0,0,0,1,0,3,0,0,5,3,0,0,1,0,0,1,0,18,2,0,54,0,2,1,0,1,1,0,0,0,0,0,2872
Aldgate East,0,0,1,72,0,0,0,0,0,20,2,0,1,14,3,343,48,4,0,2,1,0,0,0,2,7,15,35,2,0,20,13,0,1,0,5,0,0,4,0,4,0,0,0,0,0,0,0,3,0,0,0,7,39,59,13,31,0,0,0,0,0,2,34,13,0,0,0,0,1,0,2,0,0,2,1,0,0,1,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,1,1,2,0,1,0,0,6,0,16,0,0,19,0,0,0,22,12,0,81,1,2,0,6,0,0,2,0,0,0,4,1,0,9,0,0,0,9,25,0,0,2,0,0,0,0,0,7,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,20,1,0,37,2,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,4,0,0,0,1,0,1,0,47,0,7,2,3,2,0,1,14,0,2,0,2,0,0,605,91,0,0,0,1,1,0,39,7,0,5,14,0,0,180,1,5,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,4,0,67,0,5,39,12,1,2,0,0,0,18,5,0,2,0,0,0,0,0,1,2,0,0,2,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,10,0,6,0,0,5,0,0,0,8,1,0,0,0,0,10,0,0,0,0,1,1,0,1,0,25,0,17,3,50,1,0,0,0,15,2,0,0,47,0,0,0,0,0,2,0,18,0,0,1,2,26,2,0,0,158,1,0,1,1,0,0,0,0,2,1,11,28,3,0,0,0,0,0,19,1,38,0,0,0,1,2,0,4,0,0,8,3,0,0,1,0,0,1,0,21,3,0,234,1,2,2,0,1,1,0,0,0,0,0,3166
All Saints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,2,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,735
Alperton,0,0,24,0,8,0,0,0,0,9,0,1,1,19,0,53,9,4,0,11,2,0,0,0,0,4,0,12,3,0,24,0,6,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,8,16,31,10,6,0,0,0,0,1,0,17,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,17,0,0,2,0,4,3,0,11,0,8,0,0,13,0,0,0,18,0,0,21,0,5,0,7,0,0,10,0,0,0,13,0,2,9,0,0,0,0,32,0,0,20,0,0,0,0,0,51,0,0,0,0,0,0,0,13,0,3,0,2,2,4,0,0,1,13,0,20,0,1,24,0,2,0,0,0,3,3,2,0,5,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,29,0,13,6,3,0,0,4,12,0,1,0,2,0,0,41,26,0,0,0,0,2,0,9,0,0,0,4,0,0,20,1,4,0,0,0,0,0,0,11,5,0,0,7,0,7,3,2,0,11,0,14,3,0,44,28,67,7,0,0,0,18,9,1,0,0,0,0,0,0,6,0,0,0,0,10,5,0,0,0,13,2,0,0,0,0,3,0,2,0,3,7,0,7,0,0,0,2,0,0,15,0,0,6,0,7,27,0,0,0,0,0,0,0,3,1,13,0,18,0,14,6,0,0,0,2,3,0,0,26,0,0,9,18,0,0,0,9,0,0,2,4,22,3,0,0,9,0,0,11,1,0,0,0,0,2,9,19,39,4,0,0,0,0,0,19,0,25,1,0,0,0,0,0,14,0,0,4,0,1,0,6,0,0,4,0,19,0,0,14,0,0,7,1,2,6,0,0,0,0,0,1625
Amersham,0,0,4,7,7,0,2,0,0,8,3,0,1,15,0,45,9,5,0,4,0,0,0,0,0,4,5,10,0,0,19,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,7,14,31,10,5,0,1,0,0,35,2,14,8,4,0,0,0,3,16,2,0,0,0,2,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,7,0,0,0,0,0,1,0,8,0,7,0,0,10,0,0,0,0,9,0,20,0,6,0,7,0,0,5,0,0,0,6,0,1,0,0,0,0,8,22,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,20,0,1,18,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,4,0,0,1,4,0,0,0,26,3,7,3,2,0,0,2,9,0,0,0,0,0,0,37,21,0,0,0,2,2,0,8,7,0,6,4,0,5,19,0,0,0,2,0,0,0,4,0,5,1,0,0,0,5,6,3,0,6,0,13,1,3,33,18,3,3,0,0,0,13,6,2,0,0,0,2,0,0,3,3,0,1,0,0,2,0,0,5,0,11,0,0,0,0,0,0,1,0,1,6,0,9,0,0,10,1,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,10,0,12,6,12,0,0,2,0,0,0,0,0,30,0,0,1,1,0,4,0,7,0,0,0,4,17,0,0,0,8,0,0,0,0,0,0,0,0,2,7,13,25,5,0,0,0,0,0,15,2,19,5,0,0,0,12,0,6,0,0,5,9,1,0,0,0,0,2,0,14,6,0,13,2,6,5,0,3,2,0,0,0,0,0,1195
Anerley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,91,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,6,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,7,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,34,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,644
Angel,0,0,2,36,33,0,1,0,0,0,6,1,2,56,4,246,49,4,0,4,2,0,0,0,8,8,14,34,3,0,58,13,1,1,0,3,1,0,6,0,3,0,0,0,0,1,0,0,13,0,0,0,32,28,50,13,25,0,0,0,0,0,7,65,26,0,0,0,0,1,0,3,0,0,2,2,0,0,2,1,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,9,2,2,2,0,2,0,1,22,0,17,0,0,31,0,0,0,137,70,0,109,2,7,0,18,0,0,5,0,1,0,8,3,1,37,0,0,0,44,61,1,0,3,0,0,0,0,0,14,5,0,1,2,0,0,0,2,0,0,0,0,0,1,2,0,1,8,0,81,2,0,113,4,10,0,0,0,0,0,0,0,8,0,0,0,0,4,1,0,0,13,0,0,1,3,0,2,0,493,1,15,4,4,5,0,2,36,0,2,0,2,0,0,238,83,0,0,0,3,4,0,33,19,0,18,8,1,0,149,1,23,0,1,0,0,0,3,0,7,0,0,1,0,1,0,0,0,9,0,197,0,6,125,40,1,3,0,0,0,44,10,0,2,0,0,0,0,0,3,4,0,0,5,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,55,0,13,0,0,11,1,0,0,14,1,0,1,0,0,22,0,0,0,0,1,1,0,1,1,26,0,27,11,46,1,0,1,0,6,3,0,1,41,0,0,0,0,0,6,0,19,0,0,1,3,70,4,0,0,32,3,0,2,2,0,0,0,0,2,1,20,53,4,0,0,1,0,0,101,4,47,0,0,0,1,4,1,7,0,0,7,9,0,0,2,0,0,3,0,34,6,0,45,1,5,3,1,3,3,0,1,0,1,0,4184
